ce_id,u_id,p_id
1,188345,188345
2,395333,395333
3,448892,448892
4,403213,403213
5,309340,309340
6,406733,406733
7,235923,235923
8,584267,584267
9,570669,570669
10,416930,416930
11,441371,441371
12,598158,598158
13,586366,586366
14,282021,282021
15,563574,563574
16,456949,456949
17,316613,316613
18,480254,480254
19,230082,230082
20,448812,448812
21,481377,481377
22,465235,465235
23,554484,554484
24,139038,139038
25,552394,552394
26,101454,101454
27,137711,137711
28,589792,589792
29,592081,592081
30,401477,401477
31,361213,361213
32,249476,249476
33,456112,456112
34,591920,591920
35,529985,529985
36,269704,269704
37,437564,437564
38,322590,322590
39,485889,485889
40,317781,317781
41,107436,107436
42,329990,329990
43,492183,492183
44,247128,247128
45,388142,388142
46,165512,165512
47,182301,182301
48,159875,159875
49,419845,419845
50,578557,578557
51,451012,451012
52,585106,585106
53,173156,173156
54,529143,529143
55,500032,500032
56,541300,541300
57,268108,268108
58,237004,237004
59,174944,174944
60,529887,529887
61,364940,364940
62,501253,501253
63,180343,180343
64,126507,126507
65,544477,544477
66,434155,434155
67,145367,145367
68,333420,333420
69,181017,181017
70,104979,104979
71,427389,427389
72,202595,202595
73,502886,502886
74,572599,572599
75,450501,450501
76,157241,157241
77,382156,382156
78,106124,106124
79,231251,231251
80,327889,327889
81,270239,270239
82,384905,384905
83,244292,244292
84,340142,340142
85,174931,174931
86,219297,219297
87,376649,376649
88,122241,122241
89,242561,242561
90,503342,503342
91,213759,213759
92,407324,407324
93,343883,343883
94,175858,175858
95,541399,541399
96,409511,409511
97,571722,571722
98,197968,197968
99,288628,288628
100,560505,560505
101,323569,323569
102,337521,337521
103,432169,432169
104,190460,190460
105,413515,413515
106,255181,255181
107,326634,326634
108,583647,583647
109,294937,294937
110,110900,110900
111,292103,292103
112,288061,288061
113,235290,235290
114,286498,286498
115,339171,339171
116,290136,290136
117,281773,281773
118,221387,221387
119,257660,257660
120,245107,245107
121,158186,158186
122,166085,166085
123,382792,382792
124,223625,223625
125,300572,300572
126,101961,101961
127,325342,325342
128,465771,465771
129,384450,384450
130,387551,387551
131,580945,580945
132,238248,238248
133,241898,241898
134,135079,135079
135,293383,293383
136,576210,576210
137,551570,551570
138,158279,158279
139,209772,209772
140,424700,424700
141,163723,163723
142,539181,539181
143,402297,402297
144,248155,248155
145,471674,471674
146,545269,545269
147,147245,147245
148,110970,110970
149,529374,529374
150,348289,348289
151,477382,477382
152,364109,364109
153,200078,200078
154,142938,142938
155,266762,266762
156,526006,526006
157,374496,374496
158,595313,595313
159,328992,328992
160,305365,305365
161,575528,575528
162,173991,173991
163,394160,394160
164,501340,501340
165,486500,486500
166,408085,408085
167,409075,409075
168,381336,381336
169,291957,291957
170,100810,100810
171,501895,501895
172,278923,278923
173,281997,281997
174,260371,260371
175,373664,373664
176,595499,595499
177,475669,475669
178,373503,373503
179,539358,539358
180,553511,553511
181,377258,377258
182,427855,427855
183,170017,170017
184,497420,497420
185,268925,268925
186,534937,534937
187,133206,133206
188,323864,323864
189,529122,529122
190,123033,123033
191,161207,161207
192,215520,215520
193,273152,273152
194,299267,299267
195,541783,541783
196,382785,382785
197,487049,487049
198,262232,262232
199,179221,179221
200,283714,283714
201,117634,117634
202,282780,282780
203,394086,394086
204,380821,380821
205,519238,519238
206,208024,208024
207,318200,318200
208,245867,245867
209,504768,504768
210,233477,233477
211,418969,418969
212,153872,153872
213,247567,247567
214,408874,408874
215,194753,194753
216,397750,397750
217,283220,283220
218,353869,353869
219,338938,338938
220,469018,469018
221,401136,401136
222,410519,410519
223,159730,159730
224,589878,589878
225,436575,436575
226,385166,385166
227,510430,510430
228,317217,317217
229,339426,339426
230,243872,243872
231,476358,476358
232,478575,478575
233,559789,559789
234,359436,359436
235,553716,553716
236,383844,383844
