u_id,p_id,f_id,f_type
100000,100000,200000,Work
100000,100000,200001,Work
100000,100000,200002,Relative
100000,100000,200003,Relative
100000,100000,200004,Work
100000,100000,200005,Relative
100000,100000,200006,Work
100000,100000,200007,School
100000,100000,200008,Relative
100000,100000,200009,School
100000,100000,200010,Work
100000,100000,200011,Work
100000,100000,200012,Relative
100000,100000,200013,Work
100000,100000,200014,Relative
100000,100000,200015,Relative
100000,100000,200016,Relative
100000,100000,200017,School
100000,100000,200018,Work
100000,100000,200019,Work
100000,100000,200020,School
100000,100000,200021,Relative
100000,100000,200022,Relative
100000,100000,200023,School
100000,100000,200024,Work
100000,100000,200025,Work
100000,100000,200026,Relative
100000,100000,200027,Relative
100000,100000,200028,Relative
100000,100000,200029,Work
100000,100000,200030,Work
100000,100000,200031,School
100000,100000,200032,School
100000,100000,200033,School
100000,100000,200034,Work
100000,100000,200035,Work
100000,100000,200036,Relative
100000,100000,200037,Work
100000,100000,200038,School
100000,100000,200039,Relative
100000,100000,200040,School
100000,100000,200041,Work
100000,100000,200042,School
100000,100000,200043,Work
100000,100000,200044,Work
100000,100000,200045,Work
100000,100000,200046,Work
100000,100000,200047,Work
100000,100000,200048,Relative
100000,100000,200049,Work
100001,100001,200050,School
100001,100001,200051,School
100001,100001,200052,Relative
100001,100001,200053,Work
100001,100001,200054,Relative
100001,100001,200055,Relative
100001,100001,200056,Relative
100001,100001,200057,School
100001,100001,200058,Relative
100001,100001,200059,Relative
100001,100001,200060,Work
100001,100001,200061,Relative
100001,100001,200062,Relative
100001,100001,200063,Relative
100001,100001,200064,Relative
100001,100001,200065,Relative
100001,100001,200066,School
100001,100001,200067,Relative
100001,100001,200068,Work
100001,100001,200069,Relative
100001,100001,200070,Work
100001,100001,200071,Work
100001,100001,200072,Work
100001,100001,200073,Work
100001,100001,200074,Work
100001,100001,200075,Relative
100001,100001,200076,School
100001,100001,200077,Work
100001,100001,200078,School
100001,100001,200079,School
100001,100001,200080,Work
100001,100001,200081,Work
100001,100001,200082,Work
100001,100001,200083,Relative
100001,100001,200084,Work
100001,100001,200085,Relative
100001,100001,200086,School
100001,100001,200087,School
100001,100001,200088,Relative
100001,100001,200089,Work
100001,100001,200090,Relative
100001,100001,200091,Work
100001,100001,200092,School
100001,100001,200093,Work
100001,100001,200094,Relative
100001,100001,200095,School
100001,100001,200096,School
100001,100001,200097,School
100001,100001,200098,Relative
100001,100001,200099,Relative
100002,100002,200100,Work
100002,100002,200101,School
100002,100002,200102,Relative
100002,100002,200103,School
100002,100002,200104,School
100002,100002,200105,Work
100002,100002,200106,Relative
100002,100002,200107,School
100002,100002,200108,Relative
100002,100002,200109,Relative
100002,100002,200110,Work
100002,100002,200111,Work
100002,100002,200112,Relative
100002,100002,200113,Relative
100002,100002,200114,School
100002,100002,200115,Work
100002,100002,200116,Work
100002,100002,200117,Work
100002,100002,200118,Work
100002,100002,200119,School
100002,100002,200120,Work
100002,100002,200121,School
100002,100002,200122,Work
100002,100002,200123,Relative
100002,100002,200124,School
100002,100002,200125,School
100002,100002,200126,Work
100002,100002,200127,Relative
100002,100002,200128,Relative
100002,100002,200129,Work
100002,100002,200130,Relative
100002,100002,200131,Relative
100002,100002,200132,School
100002,100002,200133,School
100002,100002,200134,School
100002,100002,200135,Relative
100002,100002,200136,Work
100002,100002,200137,Work
100002,100002,200138,Work
100002,100002,200139,School
100002,100002,200140,Work
100002,100002,200141,School
100002,100002,200142,Relative
100002,100002,200143,School
100002,100002,200144,Relative
100002,100002,200145,Work
100002,100002,200146,Relative
100002,100002,200147,School
100002,100002,200148,Relative
100002,100002,200149,School
100003,100003,200150,School
100003,100003,200151,School
100003,100003,200152,Relative
100003,100003,200153,Relative
100003,100003,200154,School
100003,100003,200155,Relative
100003,100003,200156,Relative
100003,100003,200157,Work
100003,100003,200158,Work
100003,100003,200159,School
100003,100003,200160,Work
100003,100003,200161,School
100003,100003,200162,Relative
100003,100003,200163,Relative
100003,100003,200164,Work
100003,100003,200165,Relative
100003,100003,200166,Work
100003,100003,200167,Relative
100003,100003,200168,School
100003,100003,200169,Relative
100003,100003,200170,School
100003,100003,200171,Work
100003,100003,200172,Relative
100003,100003,200173,Work
100003,100003,200174,School
100003,100003,200175,School
100003,100003,200176,School
100003,100003,200177,School
100003,100003,200178,Work
100003,100003,200179,Work
100003,100003,200180,Relative
100003,100003,200181,Relative
100003,100003,200182,Work
100003,100003,200183,Relative
100003,100003,200184,Relative
100003,100003,200185,Relative
100003,100003,200186,School
100003,100003,200187,School
100003,100003,200188,Relative
100003,100003,200189,School
100003,100003,200190,Relative
100003,100003,200191,Relative
100003,100003,200192,School
100003,100003,200193,Relative
100003,100003,200194,Work
100003,100003,200195,Work
100003,100003,200196,School
100003,100003,200197,Work
100003,100003,200198,Relative
100003,100003,200199,Relative
100004,100004,200200,Work
100004,100004,200201,School
100004,100004,200202,Relative
100004,100004,200203,Work
100004,100004,200204,Relative
100004,100004,200205,Relative
100004,100004,200206,Work
100004,100004,200207,School
100004,100004,200208,School
100004,100004,200209,Work
100004,100004,200210,School
100004,100004,200211,Work
100004,100004,200212,Work
100004,100004,200213,School
100004,100004,200214,School
100004,100004,200215,School
100004,100004,200216,School
100004,100004,200217,Relative
100004,100004,200218,School
100004,100004,200219,Work
100004,100004,200220,School
100004,100004,200221,School
100004,100004,200222,School
100004,100004,200223,School
100004,100004,200224,Relative
100004,100004,200225,School
100004,100004,200226,Work
100004,100004,200227,School
100004,100004,200228,Work
100004,100004,200229,Relative
100004,100004,200230,School
100004,100004,200231,School
100004,100004,200232,Work
100004,100004,200233,Work
100004,100004,200234,Work
100004,100004,200235,Work
100004,100004,200236,Relative
100004,100004,200237,School
100004,100004,200238,Relative
100004,100004,200239,Relative
100004,100004,200240,School
100004,100004,200241,Relative
100004,100004,200242,School
100004,100004,200243,Work
100004,100004,200244,Relative
100004,100004,200245,Relative
100004,100004,200246,Work
100004,100004,200247,Relative
100004,100004,200248,Work
100004,100004,200249,School
100005,100005,200250,Work
100005,100005,200251,Relative
100005,100005,200252,Work
100005,100005,200253,Relative
100005,100005,200254,Relative
100005,100005,200255,Work
100005,100005,200256,Relative
100005,100005,200257,Work
100005,100005,200258,Work
100005,100005,200259,Relative
100005,100005,200260,Relative
100005,100005,200261,School
100005,100005,200262,Relative
100005,100005,200263,Relative
100005,100005,200264,School
100005,100005,200265,Work
100005,100005,200266,Relative
100005,100005,200267,School
100005,100005,200268,School
100005,100005,200269,Relative
100005,100005,200270,Work
100005,100005,200271,Work
100005,100005,200272,School
100005,100005,200273,Work
100005,100005,200274,Relative
100005,100005,200275,Work
100005,100005,200276,Work
100005,100005,200277,Relative
100005,100005,200278,Work
100005,100005,200279,Relative
100005,100005,200280,School
100005,100005,200281,School
100005,100005,200282,Work
100005,100005,200283,Relative
100005,100005,200284,Relative
100005,100005,200285,Work
100005,100005,200286,School
100005,100005,200287,School
100005,100005,200288,Work
100005,100005,200289,Relative
100005,100005,200290,Work
100005,100005,200291,Relative
100005,100005,200292,Work
100005,100005,200293,Work
100005,100005,200294,Relative
100005,100005,200295,School
100005,100005,200296,Relative
100005,100005,200297,Work
100005,100005,200298,Relative
100005,100005,200299,Relative
100006,100006,200300,Relative
100006,100006,200301,School
100006,100006,200302,Work
100006,100006,200303,Relative
100006,100006,200304,Work
100006,100006,200305,Work
100006,100006,200306,School
100006,100006,200307,Relative
100006,100006,200308,School
100006,100006,200309,Relative
100006,100006,200310,School
100006,100006,200311,School
100006,100006,200312,Work
100006,100006,200313,School
100006,100006,200314,Work
100006,100006,200315,Relative
100006,100006,200316,Relative
100006,100006,200317,Relative
100006,100006,200318,School
100006,100006,200319,School
100006,100006,200320,Relative
100006,100006,200321,School
100006,100006,200322,School
100006,100006,200323,School
100006,100006,200324,School
100006,100006,200325,Work
100006,100006,200326,Relative
100006,100006,200327,Work
100006,100006,200328,School
100006,100006,200329,Work
100006,100006,200330,Relative
100006,100006,200331,School
100006,100006,200332,School
100006,100006,200333,School
100006,100006,200334,School
100006,100006,200335,School
100006,100006,200336,Relative
100006,100006,200337,Relative
100006,100006,200338,Relative
100006,100006,200339,School
100006,100006,200340,Relative
100006,100006,200341,School
100006,100006,200342,Work
100006,100006,200343,Relative
100006,100006,200344,Work
100006,100006,200345,Relative
100006,100006,200346,School
100006,100006,200347,Work
100006,100006,200348,School
100006,100006,200349,Work
100007,100007,200350,Work
100007,100007,200351,Relative
100007,100007,200352,Relative
100007,100007,200353,School
100007,100007,200354,Work
100007,100007,200355,Work
100007,100007,200356,Relative
100007,100007,200357,Work
100007,100007,200358,School
100007,100007,200359,School
100007,100007,200360,Work
100007,100007,200361,School
100007,100007,200362,Relative
100007,100007,200363,Relative
100007,100007,200364,Work
100007,100007,200365,Work
100007,100007,200366,School
100007,100007,200367,School
100007,100007,200368,School
100007,100007,200369,Relative
100007,100007,200370,Relative
100007,100007,200371,School
100007,100007,200372,School
100007,100007,200373,Relative
100007,100007,200374,School
100007,100007,200375,Relative
100007,100007,200376,Work
100007,100007,200377,Work
100007,100007,200378,School
100007,100007,200379,Work
100007,100007,200380,Work
100007,100007,200381,Work
100007,100007,200382,School
100007,100007,200383,Work
100007,100007,200384,School
100007,100007,200385,Work
100007,100007,200386,Work
100007,100007,200387,Relative
100007,100007,200388,Work
100007,100007,200389,Work
100007,100007,200390,Work
100007,100007,200391,Work
100007,100007,200392,Work
100007,100007,200393,School
100007,100007,200394,Work
100007,100007,200395,Work
100007,100007,200396,Relative
100007,100007,200397,Relative
100007,100007,200398,School
100007,100007,200399,Relative
100008,100008,200400,Relative
100008,100008,200401,School
100008,100008,200402,Relative
100008,100008,200403,Work
100008,100008,200404,School
100008,100008,200405,School
100008,100008,200406,School
100008,100008,200407,Work
100008,100008,200408,School
100008,100008,200409,Work
100008,100008,200410,School
100008,100008,200411,School
100008,100008,200412,Relative
100008,100008,200413,School
100008,100008,200414,Work
100008,100008,200415,School
100008,100008,200416,Relative
100008,100008,200417,Relative
100008,100008,200418,Work
100008,100008,200419,Work
100008,100008,200420,Relative
100008,100008,200421,Work
100008,100008,200422,School
100008,100008,200423,Work
100008,100008,200424,Relative
100008,100008,200425,Work
100008,100008,200426,School
100008,100008,200427,Relative
100008,100008,200428,Work
100008,100008,200429,School
100008,100008,200430,Work
100008,100008,200431,Work
100008,100008,200432,School
100008,100008,200433,School
100008,100008,200434,Relative
100008,100008,200435,Work
100008,100008,200436,Work
100008,100008,200437,School
100008,100008,200438,Relative
100008,100008,200439,Relative
100008,100008,200440,Relative
100008,100008,200441,Work
100008,100008,200442,Relative
100008,100008,200443,School
100008,100008,200444,Work
100008,100008,200445,Relative
100008,100008,200446,Work
100008,100008,200447,Work
100008,100008,200448,Work
100008,100008,200449,Relative
100009,100009,200450,Work
100009,100009,200451,Work
100009,100009,200452,School
100009,100009,200453,Relative
100009,100009,200454,Relative
100009,100009,200455,Relative
100009,100009,200456,School
100009,100009,200457,Relative
100009,100009,200458,Work
100009,100009,200459,Relative
100009,100009,200460,School
100009,100009,200461,Work
100009,100009,200462,School
100009,100009,200463,Relative
100009,100009,200464,Work
100009,100009,200465,Work
100009,100009,200466,Relative
100009,100009,200467,Work
100009,100009,200468,School
100009,100009,200469,Relative
100009,100009,200470,School
100009,100009,200471,Relative
100009,100009,200472,School
100009,100009,200473,School
100009,100009,200474,Relative
100009,100009,200475,School
100009,100009,200476,School
100009,100009,200477,School
100009,100009,200478,Relative
100009,100009,200479,School
100009,100009,200480,School
100009,100009,200481,School
100009,100009,200482,Relative
100009,100009,200483,Relative
100009,100009,200484,Work
100009,100009,200485,School
100009,100009,200486,Relative
100009,100009,200487,Work
100009,100009,200488,Work
100009,100009,200489,Work
100009,100009,200490,Relative
100009,100009,200491,Work
100009,100009,200492,Work
100009,100009,200493,School
100009,100009,200494,Work
100009,100009,200495,School
100009,100009,200496,Work
100009,100009,200497,Work
100009,100009,200498,Relative
100009,100009,200499,Relative
100010,100010,200500,Relative
100010,100010,200501,Relative
100010,100010,200502,School
100010,100010,200503,Work
100010,100010,200504,School
100010,100010,200505,Work
100010,100010,200506,Work
100010,100010,200507,Relative
100010,100010,200508,School
100010,100010,200509,Work
100010,100010,200510,School
100010,100010,200511,Relative
100010,100010,200512,Work
100010,100010,200513,School
100010,100010,200514,Relative
100010,100010,200515,School
100010,100010,200516,School
100010,100010,200517,Relative
100010,100010,200518,Work
100010,100010,200519,Relative
100010,100010,200520,Work
100010,100010,200521,Work
100010,100010,200522,Work
100010,100010,200523,Work
100010,100010,200524,Relative
100010,100010,200525,Relative
100010,100010,200526,Relative
100010,100010,200527,School
100010,100010,200528,School
100010,100010,200529,Work
100010,100010,200530,Relative
100010,100010,200531,School
100010,100010,200532,Relative
100010,100010,200533,Work
100010,100010,200534,School
100010,100010,200535,School
100010,100010,200536,School
100010,100010,200537,School
100010,100010,200538,Work
100010,100010,200539,Work
100010,100010,200540,Relative
100010,100010,200541,School
100010,100010,200542,Relative
100010,100010,200543,School
100010,100010,200544,Work
100010,100010,200545,Work
100010,100010,200546,School
100010,100010,200547,Work
100010,100010,200548,Relative
100010,100010,200549,Work
100011,100011,200550,Work
100011,100011,200551,School
100011,100011,200552,Relative
100011,100011,200553,Relative
100011,100011,200554,Relative
100011,100011,200555,School
100011,100011,200556,Relative
100011,100011,200557,School
100011,100011,200558,Work
100011,100011,200559,School
100011,100011,200560,Relative
100011,100011,200561,Relative
100011,100011,200562,Relative
100011,100011,200563,School
100011,100011,200564,Work
100011,100011,200565,School
100011,100011,200566,Work
100011,100011,200567,School
100011,100011,200568,School
100011,100011,200569,Relative
100011,100011,200570,Work
100011,100011,200571,School
100011,100011,200572,School
100011,100011,200573,Work
100011,100011,200574,School
100011,100011,200575,Relative
100011,100011,200576,Work
100011,100011,200577,Work
100011,100011,200578,Relative
100011,100011,200579,Relative
100011,100011,200580,Relative
100011,100011,200581,Work
100011,100011,200582,Relative
100011,100011,200583,School
100011,100011,200584,Work
100011,100011,200585,School
100011,100011,200586,Relative
100011,100011,200587,Work
100011,100011,200588,School
100011,100011,200589,Work
100011,100011,200590,School
100011,100011,200591,Work
100011,100011,200592,Work
100011,100011,200593,School
100011,100011,200594,Work
100011,100011,200595,Relative
100011,100011,200596,School
100011,100011,200597,Relative
100011,100011,200598,School
100011,100011,200599,School
100012,100012,200600,Relative
100012,100012,200601,School
100012,100012,200602,Work
100012,100012,200603,School
100012,100012,200604,School
100012,100012,200605,Relative
100012,100012,200606,Relative
100012,100012,200607,Relative
100012,100012,200608,School
100012,100012,200609,Work
100012,100012,200610,Work
100012,100012,200611,Relative
100012,100012,200612,Relative
100012,100012,200613,Relative
100012,100012,200614,Work
100012,100012,200615,Work
100012,100012,200616,Work
100012,100012,200617,Work
100012,100012,200618,School
100012,100012,200619,Work
100012,100012,200620,School
100012,100012,200621,School
100012,100012,200622,Relative
100012,100012,200623,Work
100012,100012,200624,School
100012,100012,200625,Relative
100012,100012,200626,Work
100012,100012,200627,School
100012,100012,200628,School
100012,100012,200629,Work
100012,100012,200630,Relative
100012,100012,200631,Work
100012,100012,200632,Work
100012,100012,200633,School
100012,100012,200634,School
100012,100012,200635,Work
100012,100012,200636,Work
100012,100012,200637,Work
100012,100012,200638,Work
100012,100012,200639,Work
100012,100012,200640,Work
100012,100012,200641,Relative
100012,100012,200642,Work
100012,100012,200643,School
100012,100012,200644,Relative
100012,100012,200645,Work
100012,100012,200646,Work
100012,100012,200647,School
100012,100012,200648,School
100012,100012,200649,Work
100013,100013,200650,Relative
100013,100013,200651,School
100013,100013,200652,Relative
100013,100013,200653,School
100013,100013,200654,Relative
100013,100013,200655,School
100013,100013,200656,Relative
100013,100013,200657,Relative
100013,100013,200658,School
100013,100013,200659,Work
100013,100013,200660,School
100013,100013,200661,Relative
100013,100013,200662,Relative
100013,100013,200663,Relative
100013,100013,200664,Work
100013,100013,200665,School
100013,100013,200666,School
100013,100013,200667,Relative
100013,100013,200668,School
100013,100013,200669,Relative
100013,100013,200670,Relative
100013,100013,200671,Relative
100013,100013,200672,Relative
100013,100013,200673,School
100013,100013,200674,Work
100013,100013,200675,School
100013,100013,200676,School
100013,100013,200677,School
100013,100013,200678,Work
100013,100013,200679,Work
100013,100013,200680,Relative
100013,100013,200681,School
100013,100013,200682,Relative
100013,100013,200683,Relative
100013,100013,200684,School
100013,100013,200685,Relative
100013,100013,200686,Work
100013,100013,200687,Relative
100013,100013,200688,Relative
100013,100013,200689,Work
100013,100013,200690,School
100013,100013,200691,Relative
100013,100013,200692,Relative
100013,100013,200693,Relative
100013,100013,200694,School
100013,100013,200695,Relative
100013,100013,200696,Work
100013,100013,200697,Work
100013,100013,200698,Relative
100013,100013,200699,Work
100014,100014,200700,Work
100014,100014,200701,Relative
100014,100014,200702,Relative
100014,100014,200703,Relative
100014,100014,200704,Work
100014,100014,200705,Work
100014,100014,200706,Work
100014,100014,200707,School
100014,100014,200708,Relative
100014,100014,200709,Relative
100014,100014,200710,Work
100014,100014,200711,Relative
100014,100014,200712,Work
100014,100014,200713,Work
100014,100014,200714,Relative
100014,100014,200715,School
100014,100014,200716,Relative
100014,100014,200717,Work
100014,100014,200718,Relative
100014,100014,200719,Relative
100014,100014,200720,Relative
100014,100014,200721,Work
100014,100014,200722,Work
100014,100014,200723,Work
100014,100014,200724,Work
100014,100014,200725,Relative
100014,100014,200726,School
100014,100014,200727,Relative
100014,100014,200728,School
100014,100014,200729,Relative
100014,100014,200730,Relative
100014,100014,200731,Relative
100014,100014,200732,School
100014,100014,200733,School
100014,100014,200734,School
100014,100014,200735,Work
100014,100014,200736,Work
100014,100014,200737,Relative
100014,100014,200738,School
100014,100014,200739,Work
100014,100014,200740,Relative
100014,100014,200741,Work
100014,100014,200742,Relative
100014,100014,200743,Work
100014,100014,200744,Relative
100014,100014,200745,School
100014,100014,200746,School
100014,100014,200747,School
100014,100014,200748,Work
100014,100014,200749,Relative
100015,100015,200750,Work
100015,100015,200751,Work
100015,100015,200752,Relative
100015,100015,200753,Work
100015,100015,200754,Work
100015,100015,200755,Relative
100015,100015,200756,Relative
100015,100015,200757,School
100015,100015,200758,Relative
100015,100015,200759,Relative
100015,100015,200760,School
100015,100015,200761,School
100015,100015,200762,Work
100015,100015,200763,Work
100015,100015,200764,Work
100015,100015,200765,School
100015,100015,200766,Work
100015,100015,200767,School
100015,100015,200768,Work
100015,100015,200769,School
100015,100015,200770,Work
100015,100015,200771,School
100015,100015,200772,School
100015,100015,200773,School
100015,100015,200774,Work
100015,100015,200775,Relative
100015,100015,200776,Relative
100015,100015,200777,School
100015,100015,200778,Work
100015,100015,200779,School
100015,100015,200780,Work
100015,100015,200781,Work
100015,100015,200782,Work
100015,100015,200783,Work
100015,100015,200784,School
100015,100015,200785,Work
100015,100015,200786,School
100015,100015,200787,Work
100015,100015,200788,Work
100015,100015,200789,School
100015,100015,200790,Work
100015,100015,200791,Relative
100015,100015,200792,School
100015,100015,200793,School
100015,100015,200794,Relative
100015,100015,200795,School
100015,100015,200796,Work
100015,100015,200797,School
100015,100015,200798,Relative
100015,100015,200799,Work
100016,100016,200800,Relative
100016,100016,200801,Work
100016,100016,200802,Work
100016,100016,200803,School
100016,100016,200804,Relative
100016,100016,200805,Relative
