grp_id,grp_name,num_members
1,SAR,4906
2,VIC,8190
3,Katsina,7664
4,Victoria,9495
5,Andhra Pradesh,1904
6,SJ,7222
7,Uttar Pradesh,5380
8,Noord Brabant,8857
9,MA,1230
10,CHO,5157
11,JB,5706
12,HH,3975
13,RM,1368
14,GB,6131
15,Atlántico,4959
16,Zeeland,2197
17,Oryol Oblast,1535
18,Nuevo León,4248
19,Piemonte,4801
20,West Java,254
21,ANT,3597
22,Loreto,158
23,GB,4428
24,Karnataka,7936
25,North Island,8419
26,Berlin,4722
27,CM,7241
28,Bolívar,5917
29,GB,1174
30,Valparaíso,8839
31,Zeeland,678
32,Oost-Vlaanderen,5608
33,Wien,4827
34,Nordrhein-Westphalen,4818
35,OH,3839
36,Chungbuk,1669
37,SL,8363
38,HE,7931
39,OY,2182
40,West Java,5863
41,Delta,6979
42,Hatay,8795
43,HE,3673
44,Z.,702
45,Central Java,4071
46,San José,5801
47,BR,8132
48,Emilia-Romagna,6577
49,DE,3333
50,AN,8103
51,ON,2918
52,Principado de Asturias,4265
53,WB,1994
54,Rajasthan,5719
55,AB,3508
56,Gyeonggi,5293
57,Overijssel,9416
58,Tomsk Oblast,434
59,NB,106
60,Lazio,3747
61,Victoria,2096
62,RJ,1543
63,Antioquia,1854
64,MG,7917
65,Metropolitana de Santiago,5454
66,Gyeonggi,4520
67,JI,7952
68,British Columbia,7541
69,Roxburghshire,7354
70,WV,1529
71,LO,5063
72,SI,1947
73,AU,4968
74,São Paulo,9468
75,North Island,5821
76,łódzkie,6067
77,MA,6167
78,Khyber Pakhtoonkhwa,3285
79,Sardegna,1779
80,NI,3581
81,CO,5514
82,O,7753
83,Ontario,7551
84,NÖ.,7716
85,KR,6549
86,Dorset,1946
87,Pue.,5536
88,Gyeonggi,4454
89,Istanbul,4426
90,L,102
91,LA,7250
92,Kujawsko-pomorskie,4636
93,Sląskie,3694
94,Bremen,9096
95,CDMX,7345
96,QC,5158
97,Vienna,731
98,MI,6643
99,Arica y Parinacota,4260
100,Nuevo León,2225
101,West Sumatra,7801
102,ON,3706
103,Mersin,8365
104,São Paulo,1242
105,SO,2859
106,Gl,1719
107,Ontario,4394
108,HA,8624
109,Western Australia,1826
110,N.,6268
111,SVE,1439
112,L.,8819
113,Ross-shire,7569
114,GJ,7132
115,JT,4193
116,Catalunya,337
117,LOR,1740
118,Hatay,4258
119,Cajamarca,4736
120,FI,92
121,Illinois,9558
122,Sakhalin Oblast,435
123,BO,1738
124,MP,1214
125,Sutherland,9757
126,SP,3264
127,São Paulo,3377
128,VIC,9182
129,CAJ,9132
130,Maule,1652
131,BA,6316
132,Vienna,5394
133,Special Capital Region of Jakarta,1211
134,Euskadi,253
135,KD,2505
136,Tomsk Oblast,2439
137,Tab.,9094
138,N.,2497
139,G,7431
140,West Java,8490
141,Quindío,3003
142,Puno,9947
143,ZP,4704
144,Kent,8746
145,Gyeonggi,4486
146,San José,6773
147,LX,232
148,Novgorod Oblast,1618
149,New South Wales,84
150,Cajamarca,5835
151,CA,9801
152,AL,5956
153,H,378
154,San José,2725
155,Aragón,232
156,BOL,5526
157,IL,4929
158,Punjab,4290
159,Illinois,4853
160,L,2041
161,LOR,2792
162,NA,9769
163,KD,6446
164,O,4646
165,East Java,1399
166,Gaziantep,1508
167,Bolívar,8749
168,Kano,1932
169,ON,315
170,G,2944
171,Rio de Janeiro,1298
172,Pskov Oblast,281
173,Sindh,1040
174,MH,7296
175,KP,5528
176,BL,8786
177,Languedoc-Roussillon,9144
178,Zeeland,7382
179,Comunitat Valenciana,592
180,North Island,5953
181,Queensland,1922
182,Lubelskie,7133
183,Bauchi,8858
184,Puno,7903
185,CL,6824
186,SJ,4786
187,Wien,8823
188,Idaho,873
189,Konya,2189
190,Mexico City,8057
191,BE,5341
192,JI,5281
193,Bihar,6245
194,MT,4542
195,W,5306
196,Ulster,9644
197,Lima,7
198,Piura,8081
199,Vienna,8615
200,Zuid Holland,1696
201,LU,2693
202,FA,5169
203,NSW,2161
204,Västra Götalands län,5150
205,North Island,9618
206,PR,5312
207,Hampshire,8714
208,Gyeongnam,9685
209,GB,9560
210,SJ,4006
211,XIV,7501
212,SI,587
213,Iowa,1229
214,Antioquia,5486
215,QLD,6945
216,San José,5237
217,Comunitat Valenciana,893
218,GB,4593
219,Małopolskie,339
220,Quebec,7229
221,ON,1873
222,North Island,1498
223,SA,3859
224,RM,7593
225,La Libertad,1952
226,İzmir,5651
227,Novosibirsk Oblast,9673
228,South Island,5947
229,Leinster,9723
230,Wien,9712
231,MU,4058
232,ANT,4796
233,São Paulo,2596
234,H,6364
235,JT,6505
236,West Sumatra,8151
237,PM,2903
238,Kaduna,8934
239,Putumayo,252
240,X,1139
241,Paraíba,8887
242,Vienna,3115
243,Jambi,2747
244,Connacht,4148
245,U,6771
246,Gangwon,8074
247,AB,4106
248,Berlin,2005
249,M,1951
250,KD,6790
251,AZ,6726
252,BE,7476
253,Pomorskie,7841
254,OV,6883
255,Vienna,5014
256,Bolívar,2778
257,WB,2636
258,X,3910
259,Junín,9071
260,SJ,2849
261,Pernambuco,2409
262,Istanbul,1730
263,Dalarnas län,3954
264,VB,9936
265,ES,6794
266,Ankara,3281
267,Metropolitana de Santiago,3430
268,Vienna,8382
269,PUG,8314
270,SI,6482
271,Principado de Asturias,3706
272,RJ,1304
273,Rajasthan,5165
274,Selkirkshire,1890
275,BOL,69
276,Lambayeque,5427
277,Alberta,268
278,LA,3151
279,Alabama,6330
280,JI,631
281,AN,7417
282,LB,172
283,NI,844
284,MAG,2138
285,Vienna,604
286,L,6196
287,Connacht,1957
288,E,3964
289,Z.,3467
290,BR,2948
291,Tambov Oblast,8825
292,OMS,8359
293,O,2837
294,Tab.,6650
295,CE,319
296,AN,640
297,NI,2736
298,North Island,5568
299,G,1622
300,NSW,2673
301,Istanbul,7257
302,Leinster,6259
303,Borno,7608
304,Aydın,1785
305,Stockholms län,3541
306,RJ,1947
307,SAR,9507
308,SU,4276
309,LI,6155
310,ATL,6922
311,C,7915
312,Lima,1401
313,Jharkhand,9695
314,A,7615
315,Missouri,9848
316,SL,4559
317,Antioquia,2314
318,GO,9244
319,Flintshire,2873
320,Araucanía,3209
321,Alberta,8370
322,Metropolitana de Santiago,1016
323,Atlántico,9782
324,RM,2256
325,QLD,3349
326,California,3123
327,Murmansk Oblast,6116
328,SJ,9835
329,G,8352
330,JT,4446
331,OV,7768
332,Lubelskie,8053
333,Oax.,301
334,South Australia,2620
335,VEN,4470
336,Piura,5816
337,V,6033
338,Lagos,5737
339,Balochistan,1691
340,Antofagasta,201
341,Tamps.,963
342,Wien,3759
343,Noord Brabant,7265
344,Lagos,7042
345,Zuid Holland,1857
346,Tabasco,315
347,Wien,4930
348,Gyeonggi,786
349,Cajamarca,1647
350,SJ,7574
351,Zl,2254
352,Midi-Pyrénées,6808
353,AB,7188
354,QC,7859
355,Rajasthan,8048
356,Vienna,3470
357,LO,9866
358,CDMX,7318
359,Risaralda,9749
360,South Jeolla,2732
361,LOR,1442
362,BOL,2657
363,Piura,7375
364,Antioquia,5439
365,AK,2730
366,SJ,7605
367,Arkansas,7873
368,HE,2320
369,Cartago,4023
370,California,4645
371,Kent,9610
372,North Chungcheong,492
373,Ancash,8940
374,SO,3809
375,Noord Brabant,3851
376,North Chungcheong,1118
377,PE,3499
378,SP,6381
379,SO,6198
380,Jönköpings län,8101
381,CUS,1810
382,QLD,6992
383,MA,1219
384,Vlaams-Brabant,927
385,BC,1002
386,XIV,6210
387,LA,3515
388,Maranhão,7335
389,MB,9882
390,Punjab,5163
391,Illinois,4556
392,Victoria,7455
393,Mexico City,5185
394,Ulster,7898
395,Istanbul,4246
396,Diyarbakır,84
397,ON,1653
398,Nuevo León,8836
399,MG,4190
400,BC,748
401,GB,8378
402,Madrid,7972
403,West-Vlaanderen,2242
404,Punjab,5786
405,Piemonte,8447
406,VIC,6781
407,SK,8766
408,Picardie,2634
409,SP,3830
410,GO,9462
411,BC,1668
412,KLU,9380
413,Victoria,3230
414,Puebla,1782
415,BOL,7312
416,HB,5515
417,BE,3495
418,Dolnośląskie,4543
419,Tab.,8610
420,São Paulo,6304
421,ANT,369
422,Connacht,4587
423,Stockholms län,5263
424,West Java,5481
425,British Columbia,4651
426,East Java,6337
427,North Gyeongsang,7521
428,MA,3743
429,VB,5112
430,Puebla,9526
431,West Sumatra,7445
432,C,2898
433,RM,3653
434,Niger,5780
435,AB,8812
436,Alberta,8670
437,North Island,2772
438,WA,8526
439,Antioquia,4067
440,Istanbul,6371
441,Vienna,5786
442,Maryland,7261
443,NL,1482
444,UP,5539
445,Île-de-France,3669
446,ON,7553
447,Chelyabinsk Oblast,6989
448,AK,7470
449,Quebec,5634
450,MA,4637
451,VB,7731
452,O,4021
453,JI,936
454,SJ,6066
455,N.,5374
456,N.,9968
457,Gyeonggi,2050
458,MN,5913
459,South Chungcheong,2556
460,LU,9012
461,Luxemburg,6616
462,NI,452
463,West Java,2388
464,Namen,4676
465,Baja California,2035
466,Lubelskie,9491
467,AB,1347
468,Rio de Janeiro,3727
469,IX,1239
470,PV,6271
471,Catalunya,4413
472,Chungbuk,2970
473,Zl,2861
474,PE,3711
475,Chiapas,1402
476,Ver.,2967
477,Gyeonggi,569
478,Wien,4107
479,Piura,4658
480,HH,8645
481,Västra Götalands län,7321
482,UP,153
483,RM,1098
484,Vienna,2298
485,NI,4342
486,O,8349
487,Nord-Pas-de-Calais,1785
488,Vienna,3651
489,RM,1422
490,Wien,928
491,HE,199
492,San José,6792
493,SA,2767
494,Adana,8897
495,New South Wales,1646
496,Wien,3218
497,Piura,8484
498,Sonora,6001
499,North Island,8679
500,Katsina,5380
501,North Island,972
502,Wien,2662
503,BR,3106
504,Victoria,6134
505,Sokoto,5281
506,Junín,8342
507,BL,5092
508,IX,1986
509,WO,211
510,BA,9831
511,Wien,3707
512,IL,9306
513,CA,3881
514,South Gyeongsang,3666
515,SJ,6095
516,Catalunya,791
517,AL,4227
518,PU,4839
519,ANT,3193
520,LOR,7758
521,Osun,4666
522,Luxemburg,4933
523,HA,7230
524,Quebec,565
525,VII,7571
526,West Sumatra,9815
527,Sucre,7980
528,California,7024
529,SA,9511
530,Zeeland,1881
531,Utrecht,7761
532,Île-de-France,9810
533,Bihar,4025
534,NI,5296
535,Gyeonggi,1130
536,Ancash,2503
537,KLU,618
538,HU,2987
539,İzmir,741
540,N.,4614
541,Zeeland,3812
542,Atlántico,771
543,Hamburg,5415
544,TAM,8043
545,AR,9065
546,Şanlıurfa,7947
547,LAM,2324
548,AB,6750
549,Sachsen-Anhalt,904
550,LU,724
551,Veneto,6871
552,Berlin,7136
553,Morelos,8607
554,AS,6059
555,C,6885
556,PUN,3876
557,New Brunswick,9400
558,Virginia,9399
559,Gyeonggi,2903
560,NO,7422
561,BT,1469
562,TOS,752
563,OV,8880
564,Ankara,8878
565,Vienna,2733
566,Victoria,5888
567,Puno,5992
568,Pernambuco,8998
569,Berlin,306
570,Wien,9535
571,LAM,8831
572,JI,3018
573,Ontario,1355
574,Quebec,4368
575,Kano,2433
576,LAZ,3826
577,KN,9979
578,ANT,1613
579,Valparaíso,7716
580,Piemonte,2213
581,TAS,651
582,Wien,8459
583,Odisha,8913
584,OY,2083
585,Quebec,174
586,CUS,5127
587,KL,7078
588,ANT,1575
589,Podlaskie,6128
590,SIC,8860
591,Oyo,2095
592,CN,1879
593,AN,9692
594,HB,1555
595,Lambayeque,9983
596,Berlin,5822
597,Piura,9258
598,TAS,7338
599,Auvergne,7796
600,South Island,7783
601,Istanbul,6591
602,ANT,4018
603,Wien,3247
604,Puglia,1129
605,Castilla - La Mancha,5023
606,Champagne-Ardenne,8027
607,North Jeolla,9805
608,Andalucía,5893
609,NI,5752
610,ANT,9718
611,JT,7204
612,QC,8775
613,ST,820
614,Rio de Janeiro,6442
615,Bremen,9718
616,JT,2338
617,Gangwon,2772
618,MA,7043
619,ZP,7425
620,Balochistan,5917
621,Maryland,115
622,West Java,154
623,Tamil Nadu,6229
624,Delta,2073
625,Heredia,1892
626,Lower Austria,5091
627,North Jeolla,9074
628,BA,9963
629,Istanbul,4667
630,Quebec,8327
631,Guerrero,7530
632,ANT,1834
633,BRY,8174
634,E,9525
635,Antioquia,187
636,SP,9869
637,Ankara,4362
638,CDMX,1281
639,CE,6198
640,Limón,976
641,Valparaíso,3395
642,CUS,4808
643,BC,2565
644,Akwa Ibom,9277
645,Hgo.,3155
646,Valparaíso,4504
647,Noord Brabant,4098
648,Västra Götalands län,8027
649,PU,2839
650,Caithness,3048
651,MG,794
652,NW,6522
653,Wisconsin,2300
654,DE,1892
655,Ver.,2127
656,Castilla - La Mancha,8921
657,Drenthe,794
658,Hamburg,5278
659,GA,5589
660,San José,6670
661,NI,9506
662,Vienna,6082
663,Istanbul,4526
664,C,6981
665,Derbyshire,3482
666,Atlántico,9411
667,San José,5298
668,JUN,4672
669,Wien,4054
670,Kincardineshire,2108
671,Antofagasta,1680
672,E,6404
673,Sląskie,2945
674,San José,8064
675,Maharastra,7422
676,F,4617
677,IV,7948
678,Lagos,2238
679,South Sumatra,4202
680,ON,550
681,DE,7847
682,Wiltshire,9912
683,KLU,5385
684,Vbg.,5512
685,Aragón,7648
686,IM,6544
687,Maharastra,9982
688,CDMX,2391
689,Saskatchewan,645
690,Vienna,9450
691,PU,4373
692,HE,6934
693,HH,9699
694,BL,5221
695,Gto.,8483
696,Oax.,6918
697,Mississippi,844
698,AN,4697
699,LOM,675
