c_id,grp_id,datePosted
270,1,2020-01-03 22:10:33
73,2,2020-02-20 12:20:07
202,3,2019-12-23 04:57:18
333,4,2020-12-18 08:22:35
248,5,2021-04-14 21:13:10
48,6,2019-11-20 10:20:33
231,7,2020-10-14 13:08:12
315,8,2019-08-13 03:03:38
196,9,2020-11-16 15:09:04
62,10,2019-06-18 00:34:57
108,11,2019-08-30 21:07:13
398,12,2019-06-03 12:04:57
255,13,2020-06-05 08:07:21
354,14,2020-07-06 12:54:29
347,15,2020-07-31 19:36:55
16,16,2020-01-29 09:38:49
8,17,2021-04-25 12:23:49
390,18,2020-09-19 00:36:20
146,19,2020-06-05 16:21:26
252,20,2020-12-08 14:27:00
381,21,2020-06-09 08:44:31
257,22,2020-09-11 11:19:15
39,23,2021-01-27 02:55:59
260,24,2019-09-16 04:11:57
36,25,2020-10-13 08:05:16
68,26,2020-05-05 16:27:26
56,27,2020-08-26 02:43:28
309,28,2021-02-14 02:28:35
172,29,2021-05-03 13:05:19
148,30,2019-10-01 02:26:31
333,31,2019-07-23 00:09:36
380,32,2021-02-10 15:32:34
73,33,2020-12-01 11:25:03
200,34,2019-11-09 03:42:11
41,35,2020-07-31 14:18:58
300,36,2020-12-04 05:35:00
396,37,2021-02-10 09:03:19
134,38,2020-06-06 12:47:15
181,39,2019-08-14 10:02:26
218,40,2020-07-19 00:45:29
44,41,2020-01-09 06:02:03
217,42,2019-10-20 03:57:42
335,43,2021-03-15 09:05:08
160,44,2019-12-14 18:37:36
336,45,2020-03-28 06:31:59
262,46,2020-10-17 15:26:42
24,47,2019-08-11 18:32:58
239,48,2021-05-13 17:57:09
325,49,2020-03-17 06:31:40
244,50,2020-06-22 19:48:25
324,51,2021-01-18 14:06:12
205,52,2021-02-20 04:41:33
322,53,2019-08-21 23:16:11
210,54,2020-07-18 10:00:23
388,55,2019-11-27 19:14:58
259,56,2020-06-18 11:40:30
122,57,2019-07-09 18:56:10
206,58,2020-09-12 12:53:49
322,59,2021-02-24 00:24:16
72,60,2019-06-01 03:04:27
227,61,2021-01-21 10:54:10
150,62,2019-07-08 00:03:31
264,63,2021-01-19 23:46:02
374,64,2020-01-22 08:51:33
143,65,2020-12-01 08:17:12
218,66,2020-05-18 00:21:26
279,67,2020-09-17 19:00:59
312,68,2019-08-21 22:13:09
376,69,2019-05-20 03:07:35
97,70,2019-07-12 13:46:47
256,71,2020-06-23 15:30:25
230,72,2021-03-26 04:33:59
149,73,2020-05-29 03:40:29
212,74,2019-05-23 20:50:48
381,75,2020-04-02 20:22:34
79,76,2020-05-18 22:52:58
198,77,2020-09-30 20:21:35
351,78,2020-09-16 02:50:57
220,79,2019-07-21 22:38:28
156,80,2020-10-09 00:05:46
263,81,2020-09-23 13:21:11
264,82,2020-11-19 17:05:50
75,83,2020-11-04 04:20:58
161,84,2019-11-07 15:11:54
45,85,2020-11-10 13:53:34
248,86,2020-09-07 05:13:50
334,87,2021-05-12 12:02:30
300,88,2019-07-15 16:52:11
386,89,2019-08-05 02:27:20
387,90,2020-07-03 02:32:57
365,91,2020-03-13 05:01:47
54,92,2020-12-02 09:20:21
369,93,2019-05-24 23:56:33
105,94,2019-10-30 14:47:00
332,95,2020-02-18 10:56:46
356,96,2020-03-10 07:58:16
156,97,2020-09-21 21:38:56
150,98,2021-04-11 06:51:23
136,99,2019-09-16 16:47:57
308,100,2020-02-06 15:44:26
365,101,2019-10-16 12:41:25
281,102,2019-08-26 08:29:59
260,103,2020-10-22 16:54:43
50,104,2019-05-28 21:27:47
26,105,2020-12-20 23:39:12
389,106,2019-11-27 22:29:32
342,107,2019-11-13 10:57:40
72,108,2021-01-21 18:01:07
48,109,2021-01-16 02:39:37
188,110,2019-10-07 00:22:23
47,111,2020-08-29 04:54:14
374,112,2020-08-27 23:31:51
183,113,2020-10-19 05:13:44
24,114,2020-11-07 10:58:21
329,115,2019-07-04 02:41:05
269,116,2020-02-02 13:33:43
122,117,2019-10-18 13:48:39
92,118,2019-05-16 20:43:04
369,119,2020-01-17 15:13:52
150,120,2021-01-17 19:53:50
145,121,2020-10-24 06:42:11
258,122,2020-04-06 22:08:57
214,123,2019-11-30 16:03:55
122,124,2020-03-30 04:54:36
270,125,2020-08-30 17:21:56
158,126,2020-10-08 08:30:27
98,127,2020-10-21 05:46:48
5,128,2021-04-20 23:37:22
36,129,2019-11-24 17:29:05
66,130,2021-01-14 03:56:45
355,131,2021-02-20 11:10:02
363,132,2020-06-05 23:00:42
48,133,2020-01-18 17:52:41
315,134,2020-10-05 06:48:33
161,135,2020-06-27 07:43:30
114,136,2020-02-01 20:07:09
154,137,2020-08-29 07:54:28
129,138,2020-05-09 11:48:39
374,139,2019-09-10 19:39:17
133,140,2019-11-14 20:51:55
233,141,2019-11-16 00:36:39
178,142,2020-05-15 03:05:03
32,143,2019-06-17 10:32:05
293,144,2019-11-21 06:46:12
391,145,2019-07-05 19:31:03
24,146,2020-08-13 19:27:30
242,147,2019-08-27 16:11:22
145,148,2019-09-13 03:29:37
321,149,2020-05-06 00:19:53
68,150,2019-07-30 00:13:02
253,151,2021-02-03 09:14:36
26,152,2020-01-05 04:40:14
5,153,2021-04-20 05:37:02
115,154,2019-05-25 18:20:06
231,155,2021-04-17 02:56:23
252,156,2020-10-28 05:48:54
289,157,2021-01-19 15:46:31
167,158,2019-06-03 21:34:51
133,159,2020-02-20 04:02:55
363,160,2020-12-03 21:48:53
250,161,2021-01-08 00:32:10
310,162,2020-08-06 13:51:41
23,163,2020-06-25 05:55:21
81,164,2019-12-02 00:59:37
396,165,2020-07-13 12:47:46
117,166,2021-03-18 21:14:55
248,167,2019-11-28 14:27:05
398,168,2019-10-21 18:32:34
71,169,2019-11-06 08:41:00
191,170,2020-03-11 20:30:36
51,171,2020-11-14 22:09:03
25,172,2019-11-09 21:44:05
77,173,2020-03-27 09:53:08
370,174,2020-06-04 11:03:26
18,175,2020-07-10 09:40:33
19,176,2020-09-02 17:19:08
185,177,2020-11-04 01:50:22
