post_id,grp_id,datePosted
1,38627,2020-06-23 09:05:28
2,66549,2020-04-14 03:38:08
3,54509,2020-10-12 06:05:47
4,65725,2019-09-18 10:55:20
5,88253,2019-09-03 03:43:07
6,32023,2020-06-05 05:04:16
7,66818,2020-10-16 05:23:36
8,73161,2021-04-22 21:08:54
9,22326,2020-06-27 22:14:11
10,65968,2020-12-12 05:15:20
11,5538,2020-07-05 12:52:03
12,54020,2020-05-31 23:28:24
13,79280,2020-10-21 18:08:30
14,62109,2019-11-01 20:28:09
15,66230,2020-11-18 08:28:14
16,78208,2019-09-30 12:57:50
17,53746,2019-07-09 02:29:38
18,12014,2019-05-18 21:49:22
19,52737,2021-04-10 17:29:07
20,37323,2020-03-18 00:26:34
21,61895,2019-09-18 22:11:10
22,6073,2020-09-23 06:49:49
23,4077,2020-08-13 05:30:21
24,35381,2021-04-11 20:59:40
25,746,2020-10-09 23:15:59
26,35685,2020-02-06 13:54:55
27,94107,2019-09-04 02:59:51
28,80342,2020-10-03 16:20:44
29,34236,2020-08-24 11:51:53
30,53293,2020-05-23 19:01:41
31,88531,2021-01-26 20:55:31
32,99278,2020-05-15 13:41:21
33,88227,2021-01-31 21:36:54
34,72281,2020-10-13 19:50:29
35,69322,2020-04-03 21:19:48
36,53354,2020-05-31 20:35:34
37,98167,2020-12-16 01:19:04
38,36501,2019-10-26 16:52:53
39,8788,2020-12-21 08:29:06
40,7583,2020-01-12 20:35:20
41,80314,2021-04-04 13:13:44
42,64549,2020-10-26 02:21:17
43,5030,2020-11-07 15:02:07
44,54548,2020-05-10 10:00:15
45,70320,2021-04-09 21:29:50
46,4707,2020-08-16 17:57:30
47,26000,2020-12-27 06:02:27
48,18061,2020-03-27 16:11:50
49,92528,2019-06-03 20:23:00
50,87618,2021-01-10 13:28:04
51,28694,2019-10-19 08:01:42
52,94683,2021-03-01 09:46:29
53,6724,2019-06-17 09:34:03
54,47048,2019-12-21 15:10:31
55,90863,2019-06-23 15:41:11
56,76553,2020-08-17 05:03:07
57,81479,2019-10-05 02:27:51
58,28322,2020-07-30 09:04:25
59,37028,2019-10-02 06:56:17
60,7225,2019-09-03 22:02:39
61,10748,2020-05-30 22:26:50
62,15240,2019-10-16 01:10:48
63,87490,2020-11-17 07:02:18
64,61771,2020-04-22 13:13:12
65,84075,2020-07-12 17:36:45
66,46785,2021-01-13 05:35:16
67,62822,2020-11-30 05:10:28
68,60764,2019-08-06 09:01:00
69,5632,2019-07-12 01:38:29
70,37514,2020-12-28 21:32:29
71,48093,2021-04-02 17:24:18
72,10290,2019-11-19 17:18:12
73,49781,2020-11-30 01:17:27
74,59294,2019-12-20 01:32:07
75,16771,2019-10-19 00:30:33
76,29100,2021-01-23 12:22:38
77,44413,2020-03-14 00:45:27
78,54362,2020-10-05 15:48:00
79,9889,2020-11-30 15:41:00
80,50918,2019-12-12 13:12:54
81,52144,2021-01-03 12:52:39
82,56941,2021-01-06 07:08:35
83,31538,2019-11-05 22:39:32
84,83884,2021-02-06 17:26:37
85,84692,2020-04-15 14:17:28
86,44280,2020-11-07 03:39:05
87,55985,2020-08-11 11:09:48
88,17439,2019-10-15 20:45:30
89,71625,2019-11-16 00:47:05
90,14978,2019-09-17 21:44:35
91,94984,2021-01-01 16:58:44
92,79151,2020-01-03 06:45:01
93,46682,2019-12-01 21:52:09
94,37663,2021-03-08 07:24:43
95,66460,2019-09-30 18:21:50
96,66919,2019-08-11 04:51:02
97,19365,2020-01-08 18:22:46
98,97613,2019-09-24 23:54:21
99,94657,2019-12-31 23:54:17
100,72099,2020-08-14 07:52:20
101,44905,2020-07-03 03:01:42
102,74487,2020-10-09 05:26:05
103,53535,2020-12-29 15:33:51
104,61922,2020-06-25 17:33:17
105,5222,2021-01-24 06:40:25
106,77400,2021-01-12 04:05:40
107,4211,2019-05-29 06:17:42
108,9447,2020-06-11 22:13:00
109,82964,2019-08-13 00:31:30
110,44106,2019-09-05 22:13:39
111,27689,2019-08-01 23:55:40
112,32983,2021-03-07 04:51:04
113,61498,2020-03-15 05:12:48
114,82481,2020-04-14 16:57:07
115,68683,2019-12-28 06:48:43
116,64344,2019-09-09 16:15:28
117,40003,2021-01-15 18:46:14
118,71344,2019-09-22 23:06:07
119,45322,2021-01-04 16:44:03
120,72944,2019-10-16 21:28:26
121,88451,2020-08-17 12:42:11
122,39100,2019-09-16 04:27:56
123,89845,2021-05-11 18:54:08
124,32765,2020-04-21 01:17:47
125,82234,2021-01-24 04:02:58
126,2603,2020-02-05 20:51:18
127,49511,2020-10-18 03:46:21
128,17950,2020-05-15 13:27:03
129,89437,2021-01-26 00:26:48
130,82929,2019-09-20 10:41:34
131,98782,2021-04-26 05:41:05
132,17885,2019-05-31 02:04:30
133,21017,2020-10-25 01:03:12
134,33309,2021-03-12 03:13:23
135,71957,2020-02-14 08:30:29
136,1464,2019-07-05 15:25:04
137,15914,2019-12-13 23:49:27
138,93217,2019-11-29 09:21:22
139,84418,2021-04-14 22:16:06
140,56671,2019-12-29 11:45:02
141,46910,2020-01-06 18:08:46
142,92518,2019-10-12 17:23:24
143,16122,2020-07-07 10:16:56
144,57445,2019-10-14 04:31:24
145,13344,2020-06-02 01:43:12
146,74350,2021-04-10 16:44:07
147,58130,2019-09-30 03:17:03
148,32984,2021-02-01 12:59:47
149,84291,2019-08-22 14:39:48
150,32639,2020-12-10 04:06:53
151,30601,2019-06-27 00:24:57
152,32497,2020-03-15 02:21:26
153,94544,2020-05-15 01:16:04
154,56261,2021-03-25 12:02:19
155,41149,2021-05-01 19:20:24
156,87268,2019-05-15 01:27:15
157,64089,2020-07-29 13:53:08
158,53767,2021-04-04 09:45:13
159,48136,2020-09-17 20:43:34
160,16431,2019-05-20 18:44:47
161,13632,2020-06-27 00:10:23
162,6666,2021-04-27 09:15:26
163,12718,2020-10-15 05:42:29
164,69166,2020-05-13 14:12:52
165,62394,2021-04-05 16:42:09
166,89034,2019-10-12 20:47:27
167,69111,2020-04-02 18:55:25
168,66553,2019-05-30 14:44:23
169,73549,2020-07-04 11:00:35
170,84199,2021-03-19 02:00:27
171,95325,2020-02-22 12:02:45
172,14601,2020-11-21 16:20:55
173,9013,2021-02-24 14:27:08
174,810,2021-05-06 08:35:43
175,17827,2020-08-23 01:50:35
176,35426,2020-10-16 21:02:11
177,18874,2020-03-28 19:24:29
178,60790,2020-12-10 04:02:59
179,32025,2020-11-05 01:37:37
180,10218,2020-08-18 00:40:49
181,20716,2020-02-11 04:47:05
182,26385,2019-08-30 22:49:05
183,11886,2019-10-28 18:05:41
184,41420,2019-09-02 17:49:15
185,1651,2019-10-07 18:04:48
186,78544,2021-04-30 07:27:12
187,90887,2020-06-06 08:20:56
188,3391,2020-12-31 17:08:36
189,81257,2019-12-07 18:44:08
190,83112,2020-02-10 07:34:21
191,6104,2019-12-04 14:10:58
192,53889,2020-09-01 04:34:17
193,85686,2020-05-15 18:25:47
194,44836,2020-12-10 23:45:50
195,26001,2020-04-06 20:50:16
196,24985,2019-10-10 12:38:20
197,14386,2020-08-18 14:04:11
198,73980,2019-08-25 03:58:34
199,71775,2020-03-27 07:55:56
200,45387,2020-07-18 05:12:47
201,98130,2020-09-23 19:19:27
202,6084,2019-09-12 23:40:36
203,86804,2021-03-06 06:17:07
204,96816,2020-11-12 03:40:37
205,81332,2021-03-31 02:16:17
206,46345,2019-07-19 02:00:20
207,18543,2020-06-03 23:25:16
208,57190,2019-07-24 00:22:53
209,18458,2019-10-14 00:42:28
210,49138,2020-05-25 08:21:43
211,73507,2020-10-21 00:58:58
212,40426,2020-11-02 08:38:40
213,27889,2019-07-15 05:09:54
214,82022,2021-02-21 22:51:08
215,72648,2020-02-15 09:10:14
216,43396,2021-04-27 16:57:34
217,76927,2019-12-31 19:47:24
218,57755,2020-02-06 22:17:18
219,68196,2019-11-21 08:23:30
220,12121,2020-10-13 22:01:31
221,20837,2019-10-13 00:14:44
222,86247,2020-05-27 10:02:32
223,2134,2020-10-24 18:18:30
224,89218,2020-12-18 09:56:37
225,69604,2020-08-17 05:04:14
226,59566,2019-11-20 11:59:26
227,88738,2019-10-02 11:27:06
228,14904,2019-09-07 12:23:15
229,15679,2019-05-19 02:31:02
230,64080,2019-10-29 03:00:38
231,12717,2020-05-22 20:14:49
232,3184,2021-02-14 15:16:44
233,65434,2020-06-19 01:20:26
234,73946,2020-10-11 14:10:27
235,60735,2021-04-28 19:08:12
236,57081,2020-09-13 01:06:26
237,25218,2021-01-29 12:16:38
238,30566,2020-12-22 14:38:03
239,87399,2019-09-10 08:09:00
240,19778,2019-07-09 05:49:51
241,15107,2021-03-17 14:22:44
242,75977,2019-12-16 20:49:31
243,91365,2020-04-09 05:23:55
244,61688,2019-10-26 05:01:25
245,28998,2021-03-04 20:45:19
246,81497,2019-06-12 20:48:22
247,12746,2020-03-11 01:34:40
248,76566,2020-05-19 07:07:14
249,73500,2021-03-29 11:44:43
250,7327,2021-02-20 14:01:10
251,31373,2021-01-22 01:33:13
252,82925,2019-08-29 06:26:18
253,49569,2020-03-08 14:25:31
254,38630,2020-12-03 15:32:58
255,64187,2020-05-22 20:12:13
256,95785,2020-06-20 02:00:30
257,55538,2021-04-22 13:18:43
258,3133,2021-01-23 20:01:19
259,15646,2020-06-23 10:19:12
260,77740,2020-03-19 12:37:13
261,43831,2020-09-16 13:36:39
262,14429,2020-08-23 18:44:06
263,3682,2020-08-05 13:16:42
264,79196,2019-10-31 15:01:45
265,94896,2020-10-31 03:53:56
266,41589,2020-07-06 12:12:58
267,87709,2019-12-25 14:57:55
268,97571,2020-10-03 13:08:22
269,86038,2020-09-24 18:09:30
270,9202,2020-03-23 13:33:52
271,99505,2019-07-28 16:40:09
272,29437,2020-06-16 10:23:04
273,43787,2020-06-27 09:19:42
274,27716,2021-05-05 06:18:31
275,97702,2020-05-25 05:28:03
276,64816,2019-05-29 10:50:45
277,41544,2020-11-26 20:40:59
278,71881,2020-04-11 21:53:51
279,3793,2020-01-13 19:57:15
280,86917,2021-04-28 21:48:04
281,46575,2020-09-16 08:45:05
282,84454,2020-12-21 23:31:43
283,58486,2020-11-15 01:53:05
284,71288,2021-02-22 07:12:57
285,32137,2019-10-12 06:14:51
286,54657,2020-08-31 03:07:34
287,72604,2020-05-05 15:25:38
288,4288,2021-02-27 02:14:34
289,43022,2019-07-11 02:06:52
290,58777,2021-04-11 15:20:39
291,42355,2019-05-30 23:40:02
292,71523,2020-11-26 18:32:03
293,79566,2019-06-08 11:16:11
294,3254,2021-01-15 07:06:25
295,73688,2021-02-16 15:54:14
296,95068,2020-02-03 21:54:00
297,76610,2020-08-28 03:12:44
298,80070,2020-04-15 08:56:49
299,17494,2020-12-28 21:12:25
300,75694,2021-02-04 07:47:19
301,29226,2020-07-12 10:59:44
302,3077,2021-01-26 09:40:38
303,95744,2020-03-09 12:37:35
304,66704,2020-12-08 20:33:41
305,56304,2020-04-04 17:03:13
306,56865,2020-02-27 13:15:16
307,46505,2021-05-10 09:55:01
308,72861,2019-12-27 09:35:08
309,87401,2021-05-09 03:09:20
310,17851,2019-06-10 14:14:43
311,84631,2020-06-13 00:35:23
312,40602,2021-05-05 14:59:30
313,39722,2020-11-26 10:41:47
314,51791,2019-10-02 14:18:55
315,17191,2019-09-22 03:45:21
316,97589,2021-02-07 11:48:30
317,90636,2020-07-19 19:47:24
318,4015,2020-09-24 17:22:23
319,53108,2020-10-31 13:47:15
320,55588,2020-06-19 02:23:49
321,22436,2021-03-25 04:40:48
322,50431,2019-11-12 02:50:32
323,92086,2021-04-09 16:05:23
324,27612,2020-11-29 17:18:40
325,33838,2020-05-25 12:34:50
326,26177,2021-04-16 23:13:23
327,16489,2021-04-28 18:27:33
328,2628,2019-12-29 17:44:40
329,71735,2020-07-22 14:52:56
330,28382,2020-01-16 21:16:56
331,29220,2019-05-17 17:40:19
332,98322,2020-10-21 10:53:22
333,69733,2020-10-30 20:24:48
334,56438,2021-04-11 21:22:57
335,28273,2019-12-14 22:54:56
336,27329,2020-01-09 00:18:30
337,18451,2020-11-24 06:44:32
338,32866,2020-03-22 06:32:44
339,49685,2020-03-19 20:15:29
340,48583,2020-03-18 08:23:12
341,74994,2020-10-20 01:41:28
342,4444,2021-02-19 09:07:18
343,88381,2020-02-26 08:15:06
344,52069,2019-05-21 08:21:03
345,22762,2019-10-07 09:35:37
346,15854,2020-09-02 01:01:38
347,33242,2021-04-16 01:13:33
348,55606,2020-04-28 05:46:20
349,14515,2020-08-10 21:12:16
350,69980,2019-07-02 03:49:56
351,41228,2020-10-19 11:42:12
352,35141,2020-03-11 03:15:52
353,70837,2020-11-08 02:13:15
354,62113,2020-01-27 03:09:23
355,59200,2020-09-25 09:55:14
356,60130,2019-10-01 00:41:58
357,78451,2021-04-04 03:14:21
358,66844,2020-11-08 08:49:30
359,76233,2021-01-27 05:13:36
360,35460,2019-09-08 08:53:43
361,91378,2020-11-08 22:46:07
362,56657,2020-05-29 09:01:16
363,60460,2021-01-30 22:22:58
364,5441,2019-12-20 23:56:16
365,36362,2020-06-06 04:29:51
366,41200,2021-01-14 20:22:27
367,29127,2020-10-11 13:11:19
368,33520,2020-09-04 02:20:12
369,16751,2021-01-18 08:29:18
370,68113,2020-04-12 03:02:00
371,66481,2021-04-01 16:38:50
372,25871,2021-03-30 18:09:23
373,5491,2020-12-22 00:32:53
374,55514,2021-05-02 18:17:01
375,25078,2019-11-10 22:31:46
376,18140,2019-10-27 00:15:07
377,10816,2019-10-27 00:12:30
378,17509,2019-09-14 17:35:45
379,29055,2020-09-19 14:12:20
380,59535,2019-10-21 21:09:01
381,47037,2019-12-06 04:04:32
382,75418,2020-11-22 07:49:49
383,81103,2020-06-16 21:18:09
384,85784,2019-09-26 03:01:25
385,10007,2021-02-15 08:46:27
386,54899,2020-12-10 05:34:32
387,38295,2019-10-02 19:36:53
388,58558,2021-02-19 21:01:01
389,9543,2020-10-05 03:45:14
390,51637,2019-10-24 08:40:25
391,36841,2020-11-10 00:13:08
392,95904,2021-05-11 21:57:47
393,12155,2019-08-09 17:34:26
394,13078,2020-05-24 12:29:39
395,49436,2020-07-28 15:38:38
396,52092,2020-02-19 02:49:09
397,70093,2020-07-05 08:51:26
398,21707,2019-05-22 17:10:01
399,97282,2019-05-14 09:35:34
400,10815,2020-09-24 17:11:56
401,37632,2021-01-14 08:29:50
402,91992,2020-03-09 03:41:26
403,21860,2020-05-06 04:10:12
404,27467,2021-05-12 00:34:11
405,74971,2019-06-10 21:04:18
406,94026,2019-06-18 01:17:43
407,23980,2019-06-28 04:20:29
408,79316,2019-11-12 23:07:12
409,35776,2019-08-04 14:17:12
410,68172,2019-12-12 18:10:27
411,76679,2021-04-27 18:27:01
