post_id,u_id,datePosted
1,190186,2019-06-30 19:53:36
2,212342,2020-12-05 13:36:25
3,375887,2020-08-03 10:26:29
4,285160,2019-06-21 23:08:32
5,203669,2019-10-25 04:14:43
6,520590,2021-02-28 17:39:03
7,596454,2020-04-07 02:46:54
8,291563,2019-12-18 06:33:51
9,206426,2019-05-26 17:43:28
10,455059,2020-09-10 00:23:43
11,302574,2021-03-23 19:30:47
12,356955,2020-11-12 16:10:31
13,417379,2019-09-21 04:36:12
14,562660,2021-02-23 15:47:54
15,226854,2021-02-27 01:04:46
16,505701,2021-04-14 20:21:53
17,535641,2021-04-27 02:29:52
18,556767,2021-02-14 23:34:59
19,348217,2019-09-04 11:56:41
20,478329,2021-01-09 23:12:18
21,269159,2019-07-05 01:46:14
22,515886,2020-12-07 11:24:16
23,377352,2020-10-24 04:36:54
24,559851,2019-05-12 09:41:01
25,182024,2020-10-28 05:20:27
26,302219,2019-06-04 14:52:36
27,511714,2021-04-11 02:52:11
28,518572,2019-09-04 23:19:06
29,597402,2020-11-06 03:52:08
30,519597,2019-06-15 19:03:53
31,443948,2019-05-25 17:58:44
32,100483,2020-10-01 07:02:48
33,455865,2020-01-01 00:23:23
34,162360,2020-04-21 18:22:09
35,273320,2021-01-10 04:40:06
36,443245,2020-08-03 20:45:37
37,309697,2021-03-23 10:30:30
38,584455,2020-04-26 01:10:32
39,543928,2021-02-16 14:39:17
40,357501,2020-04-18 12:40:51
41,489998,2020-03-26 13:46:34
42,362748,2020-12-26 19:25:54
43,412132,2021-01-23 23:39:48
44,107774,2019-08-25 00:04:13
45,556336,2020-07-10 17:29:24
46,590479,2019-07-03 21:29:23
47,439180,2020-12-17 07:27:00
48,316863,2019-11-03 07:24:28
49,403341,2019-10-12 21:17:26
50,250471,2021-02-06 15:37:16
51,340938,2020-05-02 17:20:09
52,283442,2020-12-30 09:45:26
53,511985,2019-06-14 09:10:27
54,525507,2021-03-27 02:18:55
55,395871,2019-07-14 15:25:35
56,531265,2020-11-18 12:36:19
57,264344,2021-05-09 10:50:16
58,155870,2020-05-28 11:56:06
59,248552,2019-09-22 06:28:06
60,354333,2020-08-24 15:35:19
61,452476,2021-01-12 12:34:24
62,359939,2019-12-14 01:51:06
63,412030,2020-05-02 15:26:55
64,324725,2019-06-08 23:19:50
65,212851,2019-07-01 16:07:15
66,250865,2020-11-08 15:23:46
67,362227,2020-01-03 13:36:57
68,379473,2019-07-14 19:12:06
69,207240,2019-07-14 17:52:49
70,536675,2021-03-13 17:41:58
71,389842,2020-05-27 01:39:51
72,591905,2020-11-14 19:43:48
73,365765,2021-02-20 12:52:37
74,129240,2019-12-15 20:33:37
75,462357,2019-06-07 04:10:35
76,229571,2020-12-21 17:12:53
77,301378,2019-12-28 08:17:25
78,132058,2020-02-16 07:36:13
79,306052,2019-11-29 11:25:05
80,142843,2020-08-22 17:33:41
81,525508,2019-09-10 16:50:41
82,209929,2020-03-28 08:44:58
83,140557,2020-05-07 07:54:45
84,230045,2020-02-01 11:03:51
85,399880,2021-01-14 14:16:16
86,321733,2020-07-30 01:30:58
87,394044,2020-02-21 23:09:59
88,283335,2020-06-14 18:35:45
89,406362,2020-12-12 20:52:19
90,358518,2019-05-29 20:05:10
91,327567,2019-06-13 07:17:06
92,358077,2019-10-21 03:31:58
93,294633,2020-07-10 23:40:31
94,472974,2020-01-03 16:07:12
95,201074,2020-11-03 23:12:34
96,189938,2019-05-18 06:42:12
97,315843,2020-05-11 17:38:47
98,530716,2020-09-29 18:24:10
99,117223,2021-01-06 07:55:18
100,286652,2021-04-06 22:01:50
101,508376,2021-02-04 03:12:03
102,247402,2021-04-14 12:59:00
103,546321,2021-03-28 14:26:30
104,434549,2020-11-27 10:10:49
105,132127,2019-11-25 06:46:56
106,295358,2019-12-23 01:25:06
107,386875,2019-09-15 17:10:32
108,337480,2019-11-11 09:00:39
109,317417,2019-05-15 06:11:24
110,577363,2021-04-20 21:19:52
111,561854,2020-04-18 23:09:26
112,310131,2020-06-13 18:57:20
113,241362,2019-10-08 12:25:30
114,466893,2020-08-28 05:56:00
115,374035,2019-11-22 07:36:03
116,198735,2021-03-30 03:24:22
117,185989,2021-03-24 17:23:13
118,310374,2020-04-18 10:56:12
119,319146,2020-09-30 17:15:38
120,278490,2019-07-24 00:34:43
121,101502,2020-03-28 11:26:09
122,423472,2021-02-02 02:16:51
123,598574,2019-11-09 18:06:37
124,113970,2021-04-08 11:20:28
125,449862,2019-12-14 12:08:16
126,377839,2020-09-02 17:48:40
127,231036,2020-03-03 22:25:35
128,290114,2021-02-16 05:07:47
129,307285,2020-09-30 17:03:07
130,266825,2020-01-15 14:56:47
131,254771,2020-08-12 15:18:29
132,430590,2019-08-30 18:47:53
133,472862,2019-10-08 15:44:59
