grp_id,ce_id,date_added
90971,44849,2020-04-08 22:36:03
65391,11127,2021-02-10 21:15:19
75115,7584,2021-03-29 13:48:58
51166,29325,2019-12-08 03:41:20
30275,6737,2020-06-10 12:20:09
21337,17717,2020-11-01 07:44:53
36006,17053,2019-11-20 07:46:12
14321,12303,2020-07-16 03:51:45
53643,16696,2020-02-01 23:31:28
9656,21032,2020-08-09 04:19:55
49964,20945,2019-07-30 21:31:29
71934,38126,2019-05-25 17:51:33
92258,45494,2020-05-26 23:42:43
20016,2170,2020-05-31 09:32:30
56849,47568,2019-07-28 11:09:36
74236,33248,2021-01-27 08:16:50
25046,2406,2019-11-14 06:01:07
65094,33441,2020-03-16 17:59:02
8280,12411,2021-03-18 08:28:00
21193,5273,2020-04-24 04:37:27
40634,15304,2019-12-10 04:28:47
76646,1420,2020-08-12 05:04:42
120,22921,2019-06-27 01:35:01
48088,25123,2021-03-25 22:28:20
75351,16462,2020-12-14 09:24:53
41195,3604,2020-01-14 21:24:17
60867,9078,2020-04-29 10:25:36
87065,16149,2019-12-23 11:28:51
85205,15478,2019-12-15 01:21:09
74790,25809,2019-05-22 15:26:18
83419,38121,2020-01-06 21:07:21
49731,28114,2020-04-12 03:04:05
78456,31527,2021-02-05 20:59:24
10524,45664,2019-09-19 05:13:43
99735,47468,2019-06-29 11:03:52
65785,27815,2019-11-18 01:01:56
67020,46097,2020-08-01 09:28:21
38242,28744,2019-10-07 09:14:16
81642,2875,2019-07-05 19:31:16
47629,41086,2020-08-03 19:10:15
49800,39187,2021-04-09 09:04:33
44629,2032,2019-10-25 03:01:28
3203,13802,2019-07-30 06:40:18
74931,22513,2020-12-07 14:25:39
73677,49007,2020-05-11 13:12:23
81495,41331,2021-04-15 23:17:25
60543,3293,2019-12-28 07:17:56
98211,39226,2020-07-31 11:35:20
60563,42587,2021-04-06 04:32:18
34356,25434,2021-01-31 16:48:30
4040,48,2020-06-20 12:35:46
38794,39789,2019-06-20 03:36:54
40098,11830,2020-06-20 22:57:54
43464,28045,2021-03-15 07:28:38
34961,1716,2019-09-04 00:55:34
34170,8645,2021-02-07 09:18:28
46995,21711,2020-06-27 11:58:37
75888,39365,2021-04-26 23:22:17
58000,25329,2020-01-14 00:09:50
63520,47683,2019-07-10 15:15:19
35634,38221,2021-04-21 12:13:36
83528,18384,2020-01-01 04:14:38
62423,16783,2020-05-17 08:14:02
54347,25461,2019-07-19 18:57:28
7069,27166,2021-01-17 07:18:30
58529,38020,2021-04-14 06:40:33
14618,45708,2019-09-21 15:22:43
15240,42297,2020-01-21 22:55:31
66609,28458,2019-09-17 23:43:36
1384,43536,2020-01-17 04:58:51
